Year,B_000t,C_000t,sst_spawning_period,sst_nursery_feeding_period,sst_overwintering_period,NPGO_spawning_period,NPGO_nursery_feeding_period,NPGO_overwintering_period,NPA_spawning_period,NPA_nursery_feeding_period,NPA_overwintering_period,WP_spawning_period,WP_nursery_feeding_period,WP_overwintering_period,NAO_spawning_period,NAO_nursery_feeding_period,NAO_overwintering_period,SOI_spawning_period,SOI_nursery_feeding_period,SOI_overwintering_period,Nino34_spawning_period,Nino34_nursery_feeding_period,Nino34_overwintering_period,PDO_spawning_period,PDO_nursery_feeding_period,PDO_overwintering_period,NOI_spawning_period,NOI_nursery_feeding_period,NOI_overwintering_period,NPI_spawning_period,NPI_nursery_feeding_period,NPI_overwintering_period,AOI_spawning_period,AOI_nursery_feeding_period,AOI_overwintering_period,AMO_spawning_period,AMO_nursery_feeding_period,AMO_overwintering_period,summer_fishing_moratorium,F
2000,1132.123515,246.89,14.93126917,22.56181515,10.20209743,2.229209567,1.62007492,1.68253565,-0.616666667,-0.634,0.4475,-0.73,0.328,-0.4325,0.506666667,-0.306,1.17,0.466666667,0.86,1.275,26.1725,26.228,25.2875,-0.23,-0.958,-0.9725,-1.123333333,1.5356,1.5505,1015.57,1014.164,1007.7275,0.425333333,-0.2748,0.7345,0.024,0.0178,-0.0195,2.5,0.21687307
2001,1268.267561,227.583,15.30640125,22.69356545,10.21939294,2.169046533,1.64698864,2.5929374,-0.506666667,0.184,0.82,0.116666667,0.38,0.065,-0.073333333,-0.116,-0.285,0,0.06,1.1,26.73833333,26.694,26.1025,-0.503333333,-1.022,0.485,1.010666667,-0.5106,1.52175,1016.023333,1013.648,1006.5725,0.447666667,0.2616,-1.4055,0.04,0.182,-0.08575,2.5,0.178639394
2002,1437.532966,264.336,15.75217292,21.8439497,10.49885192,1.201795487,1.100280692,1.989818375,-1,0.636,-0.16,-0.433333333,-1.108,0.3025,0.446666667,-0.432,0.35,-0.366666667,-0.6,0.125,27.71416667,27.938,26.645,-0.653333333,0.428,-0.2675,0.198,-1.381,1.66225,1015.483333,1012.472,1009.7975,0.574,-0.5714,0.56625,-0.065333333,0.0308,0.15675,2.5,0.183066551
2003,1570.439053,257.637,14.78978831,22.0554432,9.932963812,0.932890673,0.805315436,1.772251845,-0.886666667,0.192,0.885,0.79,-0.948,-0.11,-0.08,-0.066,0.04,-0.333333333,0,-0.575,27.28666667,27.156,27.54,0.466666667,0.618,1.815,-1.868666667,-0.3052,-2.25525,1014.693333,1015.482,1005.195,0.245666667,0.0468,-0.25075,0.126,0.3392,0.01925,2.5,0.162908798
2004,1739.261549,273.699,15.00005438,22.59593529,10.43157544,0.36969255,0.214896098,0.384888423,-0.54,0.096,0.6575,0.99,0.422,-0.0125,0.15,0.132,0.3075,-0.233333333,-0.38,0.35,27.50083333,27.546,27.055,0.353333333,-0.14,0.145,0.718,0.236,0.64975,1014.42,1013.688,1006.18,-0.246333333,0.0194,-0.65775,0.077666667,0.2298,0.181,2.5,0.156402596
2005,1920.489505,303.022,14.72019191,22.29435835,9.721233543,-1.298743567,-1.46167486,-1.486590838,1.103333333,0.584,0.325,0.176666667,-0.224,-0.1525,-0.533333333,-0.16,0.21,-0.333333333,0.26,-0.825,27.09333333,26.66,27.3475,1.013333333,-0.708,0.3075,-0.384666667,1.5786,-1.90125,1013.506667,1014.968,1007.415,-0.397333333,0.2112,-0.25825,0.284,0.3168,0.15725,2.5,0.156190368
2006,2153.407801,275.356,14.26528038,22.76306103,9.886187196,-0.294607363,-0.617791768,-0.966648383,-0.626666667,-0.278,0.3575,-0.133333333,-0.456,0.305,0.313333333,-0.85,-0.24,0.133333333,-0.68,0.9,27.165,27.376,25.99,0.34,-0.156,0.4525,-0.566666667,-0.2088,1.096,1016.17,1015.626,1009.165,0.455,-0.0128,-1.0085,0.259333333,0.3324,0.09875,2.5,0.128180932
2007,1847.983216,304.333,15.27601521,22.46295721,10.75342378,0.664451953,1.079897954,-0.292555855,0.27,1.462,0.6675,-0.813333333,0.298,0.52,-0.16,0.206,0.6325,0.1,0.38,-0.25,26.45916667,25.79,27.24,0.283333333,-0.404,-0.1175,2.412666667,0.8636,4.529,1013.88,1013.116,1008.595,0.294333333,-0.0776,1.04775,0.099333333,0.1032,0.1515,2.5,0.165091129
2008,1601.748938,290.856,14.61818801,22.45244801,10.05100525,1.549266467,1.88922082,0.971627553,-0.463333333,0.782,0,-0.246666667,-0.322,-0.0125,-1.396666667,-0.354,0.51,0.4,1.02,1.875,26.2925,26.56,25.255,-1.19,-1.198,-0.865,2.152666667,0.3204,5.54625,1016.423333,1014.32,1009.7325,-0.583333333,0.1762,0.791,0.136666667,0.1164,0.08675,2.5,0.181604232
2009,1600.9328,256.144,17.17388122,21.52502211,9.484927498,0.37975547,0.754236032,0.51395045,-0.006666667,0.76,-0.6925,-0.796666667,0.012,0.7375,0.09,-0.376,0.085,0.266666667,-0.3,1.2,27.3675,27.672,25.9875,-0.9,0.196,-1.315,0.618333333,0.3924,3.597,1015.023333,1013.706,1014.13,0.272,-0.3232,0.22425,-0.044,0.114,-0.1115,3,0.159759868
